epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,10976.8,1.12035,0.59193,1.1552,0.61113,0.61954,0.63117,0.41445,1.27401,0.60128,1.26548,0.000580174,0.000580174,0.000580174
62,11148.1,1.12053,0.58539,1.14919,0.61352,0.59784,0.6319,0.41804,1.27701,0.59459,1.26152,0.000566027,0.000566027,0.000566027
63,11374,1.11941,0.58925,1.15281,0.65171,0.611,0.63239,0.41672,1.26791,0.60403,1.26225,0.00055188,0.00055188,0.00055188
64,11552.8,1.11024,0.58338,1.1506,0.59854,0.61511,0.63288,0.41795,1.27942,0.59596,1.27087,0.000537733,0.000537733,0.000537733
65,11793.6,1.11996,0.58219,1.15264,0.7012,0.59004,0.63485,0.41654,1.27478,0.59757,1.26506,0.000523586,0.000523586,0.000523586
66,11971,1.10562,0.56743,1.14658,0.61995,0.60694,0.63195,0.4177,1.28036,0.60561,1.26707,0.000509438,0.000509438,0.000509438
67,12224.6,1.10973,0.57484,1.14843,0.60904,0.60248,0.63261,0.41576,1.27724,0.60113,1.26331,0.000495291,0.000495291,0.000495291
68,12397.2,1.09356,0.57189,1.14136,0.61497,0.59608,0.6323,0.41585,1.27718,0.60224,1.26193,0.000481144,0.000481144,0.000481144
69,12653.6,1.0941,0.56743,1.13884,0.61082,0.6134,0.63451,0.42033,1.26735,0.58687,1.2572,0.000466997,0.000466997,0.000466997
70,12800.1,1.09945,0.56547,1.14408,0.61604,0.59955,0.63198,0.41725,1.2706,0.58817,1.26097,0.00045285,0.00045285,0.00045285
71,12952.5,1.08252,0.56169,1.12952,0.61393,0.60012,0.63098,0.41455,1.27613,0.59373,1.26802,0.000438703,0.000438703,0.000438703
72,13103.4,1.08154,0.55111,1.13126,0.65693,0.60102,0.63247,0.41489,1.27485,0.59317,1.26111,0.000424556,0.000424556,0.000424556
73,13226.7,1.08423,0.55146,1.13818,0.6209,0.59537,0.63265,0.41696,1.27659,0.58964,1.266,0.000410409,0.000410409,0.000410409
74,13367.8,1.08443,0.54878,1.13628,0.6186,0.61526,0.63323,0.41643,1.2764,0.59401,1.2661,0.000396262,0.000396262,0.000396262
