epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,35421.5,1.83245,3.20288,2.09599,1.42475,0,0.39666,0.28607,0.25578,0.12205,0.34997,0.2395,0.19266,0.06377,1.82532,3.12925,2.09537,1.45787,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,36076.1,1.8326,3.20568,2.09444,1.42375,0,0.39589,0.28697,0.25669,0.12235,0.34763,0.24048,0.19298,0.06384,1.82399,3.12803,2.09439,1.4564,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,36742.2,1.83049,3.19623,2.08393,1.42051,0,0.39415,0.28805,0.25703,0.12278,0.34768,0.24227,0.1934,0.0641,1.82295,3.12664,2.09257,1.45494,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,37413.1,1.82487,3.19524,2.08118,1.41719,0,0.39573,0.28826,0.25779,0.1232,0.34785,0.2433,0.19413,0.06449,1.82247,3.12543,2.09081,1.45424,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,38093.7,1.82356,3.18893,2.07751,1.41604,0,0.39563,0.28935,0.25879,0.12366,0.34709,0.24299,0.19487,0.06466,1.82132,3.12454,2.0901,1.45299,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,38755.7,1.81556,3.18062,2.0617,1.4127,0,0.39704,0.28921,0.25931,0.12405,0.34665,0.24323,0.19511,0.06495,1.8203,3.12279,2.08851,1.4518,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,39409.4,1.81819,3.17593,2.06271,1.41188,0,0.39756,0.29067,0.25998,0.12456,0.35032,0.24372,0.19594,0.06526,1.81899,3.12231,2.08766,1.45029,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,40077.9,1.81696,3.1755,2.05887,1.41103,0,0.39955,0.2897,0.26009,0.12508,0.35238,0.24317,0.19647,0.06534,1.81826,3.12155,2.08597,1.44896,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,40752,1.8105,3.1689,2.05267,1.40713,0,0.40073,0.2889,0.26081,0.12528,0.35103,0.2444,0.19707,0.06547,1.81788,3.12024,2.08505,1.44795,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,41416.6,1.80669,3.16454,2.0482,1.40605,0,0.40271,0.28957,0.26168,0.12581,0.35293,0.24445,0.19775,0.06558,1.81702,3.11982,2.0847,1.44709,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,42073.3,1.80437,3.16266,2.03911,1.40174,0,0.40348,0.2912,0.26215,0.12602,0.35293,0.24531,0.1979,0.06581,1.81675,3.11914,2.08358,1.44615,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,42737.3,1.79925,3.15746,2.03043,1.39976,0,0.40586,0.29125,0.26278,0.12633,0.3529,0.24633,0.19853,0.0662,1.8163,3.11823,2.08298,1.44521,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,43416.4,1.79952,3.15199,2.02415,1.39729,0,0.40428,0.29205,0.26322,0.12687,0.35436,0.24556,0.19872,0.06638,1.81577,3.11726,2.08255,1.44453,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,44084.2,1.79602,3.1443,2.01613,1.39243,0,0.4071,0.29154,0.26377,0.12704,0.35386,0.24716,0.19942,0.06645,1.81541,3.11617,2.08205,1.4435,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,44751.6,1.79059,3.13791,2.01245,1.39315,0,0.40549,0.29168,0.2642,0.12727,0.35558,0.24722,0.20032,0.06668,1.81479,3.1152,2.08137,1.44256,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,45418.6,1.78771,3.13493,2.0034,1.38559,0,0.40788,0.29113,0.2647,0.12756,0.35509,0.24652,0.20042,0.06691,1.81448,3.11356,2.08073,1.44155,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,46087.9,1.78727,3.13387,1.99958,1.3847,0,0.40751,0.2918,0.26516,0.12781,0.35671,0.24629,0.20061,0.06706,1.81437,3.11262,2.08023,1.44085,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,46762.9,1.77687,3.12462,1.98722,1.38278,0,0.40963,0.29112,0.26554,0.12831,0.35959,0.24615,0.20177,0.0674,1.81371,3.11124,2.07968,1.44002,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,47432.8,1.77939,3.12316,1.98669,1.38042,0,0.408,0.29221,0.2662,0.12869,0.36037,0.24616,0.20223,0.06776,1.81377,3.11065,2.0788,1.43937,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,48097.1,1.77375,3.11305,1.97569,1.37957,0,0.40824,0.2915,0.2668,0.12912,0.3627,0.24599,0.20317,0.06792,1.81392,3.11001,2.07786,1.43907,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,48766.7,1.76458,3.10922,1.96618,1.37659,0,0.41183,0.29105,0.26717,0.12956,0.36442,0.24621,0.20346,0.06793,1.81339,3.10942,2.07738,1.43822,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,49466.1,1.76096,3.09828,1.95387,1.37011,0,0.41361,0.29092,0.26788,0.12996,0.36487,0.24788,0.20408,0.06809,1.8132,3.10927,2.07693,1.43745,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,50130.1,1.75771,3.09349,1.95468,1.36907,0,0.41304,0.29235,0.26823,0.13034,0.36609,0.24695,0.20429,0.06815,1.813,3.10856,2.07708,1.437,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,50785.7,1.7562,3.08795,1.9434,1.36788,0,0.4139,0.2919,0.26826,0.1307,0.36773,0.2473,0.20517,0.06844,1.8134,3.10785,2.07705,1.43668,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,51456.8,1.75171,3.0897,1.93768,1.36186,0,0.41595,0.29218,0.26893,0.13093,0.36843,0.24695,0.20508,0.06841,1.81331,3.10749,2.07719,1.43605,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
